id,time,network,band,elevation,azimuth,snr
30005,32022,BeiDou,L1,15.186626122781458,117.5173228324628,42
30033,32022,BeiDou,L1,13.517012748438463,67.49931886040876,46
30025,32022,BeiDou,L1,13.261868705968391,99.67899735472731,44
31033,32022,BeiDou,L5,13.517012748438463,67.49931886040876,48
31025,32022,BeiDou,L5,13.261868705968391,99.67899735472731,47
30005,32023,BeiDou,L1,15.18645736808359,117.51769044411944,42
30033,32023,BeiDou,L1,13.513035936824949,67.50192721160627,46
30025,32023,BeiDou,L1,13.271061116766623,99.6718310053022,44
31033,32023,BeiDou,L5,13.513035936824949,67.50192721160627,48
31025,32023,BeiDou,L5,13.271061116766623,99.6718310053022,47
30005,32024,BeiDou,L1,15.186288605689727,117.51805797493382,42
30033,32024,BeiDou,L1,13.509057314730939,67.50453660159621,46
30025,32024,BeiDou,L1,13.280230367056923,99.6646699867453,44
31033,32024,BeiDou,L5,13.509057314730939,67.50453660159621,48
31025,32024,BeiDou,L5,13.280230367056923,99.6646699867453,47
30005,32025,BeiDou,L1,15.18611983560292,117.5184254249178,42
30033,32025,BeiDou,L1,13.505076882012347,67.50714703047285,46
30025,32025,BeiDou,L1,13.289376454623598,99.65751429961438,44
31033,32025,BeiDou,L5,13.505076882012347,67.50714703047285,48
31025,32025,BeiDou,L5,13.289376454623598,99.65751429961438,47
30005,32026,BeiDou,L1,15.185951057826193,117.51879279408308,42
30033,32026,BeiDou,L1,13.50109463852541,67.50975849833056,46
30025,32026,BeiDou,L1,13.29849937724206,99.65036394447033,44
31033,32026,BeiDou,L5,13.50109463852541,67.50975849833056,48
31025,32026,BeiDou,L5,13.29849937724206,99.65036394447033,47
30005,32027,BeiDou,L1,15.18578227236262,117.51916008244139,42
30033,32027,BeiDou,L1,13.497110584126489,67.51237100526397,46
30025,32027,BeiDou,L1,13.307599132693056,99.64321892187178,44
31033,32027,BeiDou,L5,13.497110584126489,67.51237100526397,48
31025,32027,BeiDou,L5,13.307599132693056,99.64321892187178,47
30005,32028,BeiDou,L1,15.1856134792152,117.51952729000448,42
30033,32028,BeiDou,L1,13.493124718671268,67.51498455136712,46
30025,32028,BeiDou,L1,13.316675718753784,99.6360792323787,44
31033,32028,BeiDou,L5,13.493124718671268,67.51498455136712,48
31025,32028,BeiDou,L5,13.316675718753784,99.6360792323787,47
30005,32029,BeiDou,L1,15.185444678387016,117.51989441678414,42
30033,32029,BeiDou,L1,13.4891370420161,67.51759913673473,46
30025,32029,BeiDou,L1,13.325729133204986,99.62894487655066,45
31033,32029,BeiDou,L5,13.4891370420161,67.51759913673473,48
31025,32029,BeiDou,L5,13.325729133204986,99.62894487655066,47
30005,32030,BeiDou,L1,15.185275869881064,117.52026146279205,42
30033,32030,BeiDou,L1,13.485147554017228,67.52021476146096,46
30025,32030,BeiDou,L1,13.334759373823855,99.62181585494761,46
31033,32030,BeiDou,L5,13.485147554017228,67.52021476146096,48
31025,32030,BeiDou,L5,13.334759373823855,99.62181585494761,47
30005,32031,BeiDou,L1,15.185107053700435,117.52062842804006,42
30033,32031,BeiDou,L1,13.481156254530564,67.5228314256402,46
30025,32031,BeiDou,L1,13.343766438389366,99.6146921681282,46
31033,32031,BeiDou,L5,13.481156254530564,67.5228314256402,48
31025,32031,BeiDou,L5,13.343766438389366,99.6146921681282,47
30005,32032,BeiDou,L1,15.184938229848127,117.52099531253981,42
30033,32032,BeiDou,L1,13.47716314341235,67.52544912936696,46
30025,32032,BeiDou,L1,13.352750324682262,99.60757381665242,46
31033,32032,BeiDou,L5,13.47716314341235,67.52544912936696,48
31025,32032,BeiDou,L5,13.352750324682262,99.60757381665242,47
30005,32033,BeiDou,L1,15.184769398327209,117.5213621163031,42
30033,32033,BeiDou,L1,13.473168220518716,67.5280678727355,46
30025,32033,BeiDou,L1,13.361711030481516,99.6004608010798,46
31033,32033,BeiDou,L5,13.473168220518716,67.5280678727355,48
31025,32033,BeiDou,L5,13.361711030481516,99.6004608010798,47
30005,32034,BeiDou,L1,15.184600559140696,117.52172883934169,42
30033,32034,BeiDou,L1,13.469171485706019,67.53068765584042,46
30025,32034,BeiDou,L1,13.370648553566097,99.59335312197032,46
31033,32034,BeiDou,L5,13.469171485706019,67.53068765584042,48
31025,32034,BeiDou,L5,13.370648553566097,99.59335312197032,47
30005,32035,BeiDou,L1,15.184431712291657,117.5220954816673,42
30033,32035,BeiDou,L1,13.465172938829943,67.5333084787758,46
30025,32035,BeiDou,L1,13.379562891713197,99.58625077988263,46
31033,32035,BeiDou,L5,13.465172938829943,67.5333084787758,48
31025,32035,BeiDou,L5,13.379562891713197,99.58625077988263,47
40013,32036,GLONASS,L1,4.6617817016597405,100.29325251685144,46
30005,32036,BeiDou,L1,15.184262857783123,117.52246204329165,42
30033,32036,BeiDou,L1,13.461172579746844,67.53593034163622,46
30025,32036,BeiDou,L1,13.388454042703568,99.57915377537671,46
31033,32036,BeiDou,L5,13.461172579746844,67.53593034163622,48
31025,32036,BeiDou,L5,13.388454042703568,99.57915377537671,47
40013,32037,GLONASS,L1,4.668015279640154,100.28903022541942,46
30005,32037,BeiDou,L1,15.184093995618133,117.52282852422655,42
30033,32037,BeiDou,L1,13.457170408312853,67.53855324451608,46
30025,32037,BeiDou,L1,13.397322004312619,99.5720621090121,47
